Ognoo,Iteminfid,Uldegdel
2022-01-06,180706153232200002,364.00
2022-01-06,180706153232200003,158.00
2022-01-06,180706153232200005,221.00
2022-01-06,180920233009700325,-132.00
2022-01-06,190603577080600001,4.00
2022-01-06,190909745530500004,3151.00
2022-01-06,199009170000000056,311.00
2022-01-06,200813226771700001,2219.00
2022-01-06,200826241374700001,50.00
2022-01-06,201104060000000029,24.00
2022-01-06,201205090000000004,1034.00
2022-01-06,201207090000000130,35.00
2022-01-06,210327509663500011,-2.00
2022-05-30,211116153741172477,-568.00
2022-05-30,220406222153830970,21.00
2022-05-31,2007121328749,18.00
2022-05-31,2007121328895,55.00
2022-05-31,2007121329180,662.00
2022-05-31,2007121329377,0.00
2022-05-31,2007121329379,0.00
2022-05-31,2007121329380,0.00
2022-05-31,2007121329381,254.00
2022-05-31,2007121331288,138.00
2022-05-31,2007121332656,11.00
2022-05-31,2007121332659,17.00
2022-05-31,2007121334813,0.00
2022-05-31,120620429994600001,0.00
2022-05-31,120620429994600002,0.00
2022-05-31,120620429994600013,0.00
2022-05-31,120620429994600026,0.00
2022-05-31,140224536726700000,0.00
2022-05-31,150203456119500001,1.00
2022-05-31,150930603566800001,12.00
2022-05-31,151229506383600001,33.00
2022-05-31,151229527874800001,8.00
2022-05-31,160121610393900001,0.00
2022-05-31,160513343594000001,20.00
2022-05-31,160826685080700001,540.00
2022-05-31,170407678293400001,3.00
2022-05-31,170428381482200001,322.00
2022-05-31,171030000763800001,0.00
2022-05-31,180213012331300001,972.00
2022-05-31,180327043373200005,34.00
2022-05-31,180604114334600001,231.00
2022-05-31,180604114351700001,116.00
2022-05-31,180604114383000001,2200.00
2022-05-31,180704149959400001,43.00
2022-05-31,180706153232200002,31.00
2022-05-31,180706153232200003,74.00
2022-05-31,180706153232200005,43.00
2022-05-31,180920233009700325,0.00
2022-05-31,190603577080600001,9.00
2022-05-31,190909745530500004,612.00
2022-05-31,199009170000000056,98.00
2022-05-31,200813226771700001,659.00
2022-05-31,200826241374700001,1.00
2022-05-31,201104060000000029,49.00
2022-05-31,201205090000000004,925.00
2022-05-31,201207090000000130,5.00
2022-05-31,210327509663500011,500.00
2022-05-31,211116153741172477,0.00
2022-05-31,220406222153830970,26.00
2022-06-01,2007121328749,8.00
2022-06-01,2007121328895,110.00
2022-06-01,2007121329180,637.00
2022-06-01,2007121329377,-1703.00
2022-06-01,2007121329379,-380.00
2022-06-01,2007121329380,-1228.00
2022-06-01,2007121329381,254.00
2022-06-01,2007121331288,98.00
2022-06-01,2007121332656,8.00
2022-06-01,2007121332659,13.00
2022-06-01,2007121334813,-1.00
2022-06-01,120620429994600001,0.00
2022-06-01,120620429994600002,0.00
